contact_id,first_name,last_name,contact_email,mobile_phone,company_domain,name_embedding
1,Xavier,Richards,kristawright@example.org,+17620639408,strong.com,
2,Steven,Stevens,phillipsnicole@example.org,+11262544790,adams.com,
3,Melissa,Martinez,jeffreycrane@example.net,+15510761542,garcia.com,
4,Heather,White,pwong@example.com,+14698525951,strong.com,
5,Aaron,Garrison,vestes@example.net,+14267464163,adams.com,
6,John,Smith,andrew82@example.net,+11098124373,strong.com,
7,Elizabeth,Williams,emilymorales@example.net,+16913735481,sanchez.com,
8,Virginia,Blankenship,morabreanna@example.org,+16689231819,adams.com,
9,Craig,Moore,morgan78@example.net,+15379043692,strong.com,
10,Joanna,Dixon,zlarson@example.net,+18622643645,sanchez.com,
11,Wayne,Riley,johnathanaguilar@example.net,+19600693406,adams.com,
12,Frank,Singh,kimberly64@example.net,+12446809023,nichols-rivera.com,
13,Kristen,Jackson,wfoster@example.net,+14056195224,garcia.com,
14,Brandon,Snyder,whughes@example.com,+11919740852,adams.com,
15,Elizabeth,Rogers,taylorjulia@example.org,+11015419616,garcia.com,
16,Henry,Juarez,loriconrad@example.org,+19547884515,strong.com,
17,Kevin,Hudson,michaelgilmore@example.org,+18209889378,sanchez.com,
18,Kathleen,Ray,eric15@example.com,+16529038773,oliver.com,
19,Karen,Hurley,gstewart@example.org,+12199483100,nichols-rivera.com,
20,Jillian,Ingram,rhonda84@example.net,+14548584143,garcia.com,
21,Nathaniel,Oconnor,yramirez@example.net,+14448955369,garcia.com,
22,Stephanie,Murphy,benjaminbridges@example.com,+13503401810,garcia.com,
23,Mark,Bryan,qbrandt@example.org,+12930922631,garcia.com,
24,Robert,Baxter,patrick21@example.net,+11702237868,oliver.com,
25,Robert,Torres,qallen@example.net,+17043372828,nichols-rivera.com,
26,Robert,Stafford,brennandebra@example.org,+14897980541,oliver.com,
27,Gary,Buckley,torresmichelle@example.net,+19044461961,nichols-rivera.com,
28,Margaret,Douglas,lyonsfrancisco@example.org,+12601577664,sanchez.com,
29,Gregory,Chase,dcox@example.com,+17340877613,adams.com,
30,Nancy,Schultz,uwhite@example.com,+18179217670,sanchez.com,
31,Ann,Brown,anthonygates@example.net,+19510328302,nichols-rivera.com,
32,Laura,Gonzales,ryan73@example.net,+19605758491,strong.com,
33,Deborah,Nelson,bellheidi@example.org,+13900085317,sanchez.com,
34,April,Chapman,fullerchristopher@example.net,+14152220544,nichols-rivera.com,
35,John,Edwards,lisa57@example.net,+13462374932,strong.com,
36,Brian,Campbell,parkerchapman@example.org,+18612880732,nichols-rivera.com,
37,Amanda,Barr,hlamb@example.net,+13138478138,garcia.com,
38,Steven,Lopez,bairdhannah@example.org,+15934034072,adams.com,
39,Alicia,Lin,amandakent@example.com,+14039125655,garcia.com,
40,Eric,Sherman,hkelly@example.net,+18823334194,sanchez.com,
41,Brent,Taylor,williamoconnor@example.net,+16884155773,garcia.com,
42,Brian,Stanton,francishailey@example.net,+13341889754,adams.com,
43,Cheryl,Bowman,brian28@example.com,+19659280861,sanchez.com,
44,Timothy,Adams,danielfuller@example.org,+17524280147,strong.com,
45,Joshua,Roth,ebell@example.com,+13330230502,oliver.com,
46,Lisa,Medina,dgarza@example.com,+14695588477,sanchez.com,
47,Sheri,Pratt,nancymeyers@example.org,+18162099318,nichols-rivera.com,
48,Kimberly,Watson,wagnerglenn@example.net,+18396340502,garcia.com,
49,Kyle,Jacobs,mark77@example.org,+15449467520,oliver.com,
50,Laura,Rowe,michelle50@example.net,+16477474670,sanchez.com,
51,Dennis,Watson,veronica83@example.org,+15749063317,oliver.com,
52,John,King,julie38@example.com,+16487621102,garcia.com,
53,Krystal,Anthony,jordanpatrick@example.com,+15203343134,nichols-rivera.com,
54,Robert,Hall,brian45@example.net,+12619808829,oliver.com,
